Date,DJIA
1/20/2017,19827.25
1/23/2017,19799.85
1/24/2017,19912.71
1/25/2017,20068.51
1/26/2017,20100.91
1/27/2017,20093.78
1/30/2017,19971.13
1/31/2017,19864.09
02-01-2017,19890.94
02-02-2017,19884.91
02-03-2017,20071.46
02-06-2017,20052.42
02-07-2017,20090.29
02-08-2017,20054.34
02-09-2017,20172.4
02-10-2017,20269.37
2/13/2017,20412.16
2/14/2017,20504.41
2/15/2017,20611.86
2/16/2017,20619.77
2/17/2017,20624.05
2/21/2017,20743
2/22/2017,20775.6
2/23/2017,20810.32
2/24/2017,20821.76
2/27/2017,20837.44
2/28/2017,20812.24
03-01-2017,21115.55
03-02-2017,21002.97
03-03-2017,21005.71
03-06-2017,20954.34
03-07-2017,20924.76
03-08-2017,20855.73
03-09-2017,20858.19
03-10-2017,20902.98
3/13/2017,20881.48
3/14/2017,20837.37
3/15/2017,20950.1
3/16/2017,20934.55
3/17/2017,20914.62
3/20/2017,20905.86
3/21/2017,20668.01
3/22/2017,20661.3
3/23/2017,20656.58
3/24/2017,20596.72
3/27/2017,20550.98
3/28/2017,20701.5
3/29/2017,20659.32
3/30/2017,20728.49
3/31/2017,20663.22
04-03-2017,20650.21
04-04-2017,20689.24
04-05-2017,20648.15
04-06-2017,20662.95
04-07-2017,20656.1
04-10-2017,20658.02
04-11-2017,20651.3
04-12-2017,20591.86
4/13/2017,20453.25
4/17/2017,20636.92
4/18/2017,20523.28
4/19/2017,20404.49
4/20/2017,20578.71
4/21/2017,20547.76
4/24/2017,20763.89
4/25/2017,20996.12
4/26/2017,20975.09
4/27/2017,20981.33
4/28/2017,20940.51
05-01-2017,20913.46
05-02-2017,20949.89
05-03-2017,20957.9
05-04-2017,20951.47
05-05-2017,21006.94
05-08-2017,21012.28
05-09-2017,20975.78
05-10-2017,20943.11
05-11-2017,20919.42
05-12-2017,20896.61
5/15/2017,20981.94
5/16/2017,20979.75
5/17/2017,20606.93
5/18/2017,20663.02
5/19/2017,20804.84
5/22/2017,20894.83
5/23/2017,20937.91
